job_title,category,inferred_state,post_date,job_description
teacher aide,Education,Queensland,2020-02-11,oneschool global is one of the world s largest truly global schools with over students campuses and staff operating across countries oneschool global is renowned for its innovation and offers a range of learning opportunities for its students and development opportunities for its staff about the role the teacher aide is a part time position load based at our illawarra campus as the teacher aide you will be expected to provide general teacher aide duties and classroom support as required delivery of the learning support function to students across grades in all subject areas both and in small groups with a with a focus on primary school literacy and numeracy support skills and experience the successful candidate will ideally be qualified with a certificate iii or certificate iv in education support and have previous experience as a teacher aide you must hold a current working with children check you will need to be comfortable stepping away from traditional classroom teaching practises to embrace modern teaching methods and technologies and online resources benefits competitive remuneration ongoing professional development and training a safe caring and supportive work environment proven academic performance and small class sizes state of the art teaching facilities providing a modern and technologically advanced learning environment for student oneschool global has a clear vision and our values are the heart of everything we do our culture is supportive and dynamic and our success is enabled by an engaging passionate team approach if you have a genuine love of teaching possess a can do attitude and ability to be flexible within a dynamic workplace environment please apply today and we will be in touch alternatively email your application to recruitment oneschoolglobal com applications should include the following full name address and contact details relevant personal details academic and professional qualifications current position and areas of responsibility details of career history names and contact details of two professional referees supervisors the application form will include these questions which of the following statements best describes your right to work in australia do you have a current working with children wwc check do you have experience working with children how many years experience do you have as a teacher aide have you completed a qualification in education support 
finance manager education sector,Education,New south wales,2020-02-06,the company my client is one of the most respected educational institutions in melbourne they believe in hiring great people that can fit within a friendly inclusive and highly ethical working environment they play a very important role within their community and strive to inspire and instil strong values and a high performing mentality in all those that attend their institution the role this is a key role within the institution and one which will be involved in some very important day to day decisions at a senior level within the organisation you will have worked within the education sector previously critical and have an in depth knowledge on what it needs to manage a finance team within an educational institution if you have a background in audit and have audited educational institutions this would be highly advantageous mentor and assist finance staff to fulfill their duties monitor expenditure against budget cashflow management taxation and statutory reporting financial reporting liaise with key business leaders your profile you will be a confident communicator someone who can mentor and manage a team of finance professionals this is truly a high performance environment and one which puts a lot of emphasis on hiring people that bring a fun and bubbly personality to the workplace you will also need the following key elements ca cpa qualified previous experience in a similar role in education sector proven history of managing teams highly analytical approach to your work strong attention to detail apply today interviews are taking place for this role as early as next week so please waste no time and apply for this exciting opportunity today upload your resume by clicking on the apply button or for further information contact alan healy in our melbourne office on learn more about our melbourne recruitment services http www roberthalf com au recruitment agency melbourne reference no 
receptionist assistant required for educational start up,Education,Victoria,2020-03-12,our vision we are inspired to empower critical and creative thinking beyond the vce ib english classrooms edcellent is an educational start up focused on improving learning for kids in the city and box hill we have a new city campus which requires a full time receptionist admin assistant our clientele are mostly chinese australian and it is absolutely essential to be fluent in both currently we are looking for talented individuals to join our start up long term the key skills required are fluent in chinese mandarin and english high level of organisation time management skills effective communication skills candidates will be viewed favourably if they also have excellent time keeping ability proficiency in ms office proficiency in photoshop image editing previous experience as a receptionist role admin role wordpress website management experience our full time salary is competitive please ensure you have two referees available on your cv you can learn more about us at www edcellent comthe application form will include these questions which of the following statements best describes your right to work in australia do you have experience in an administration role how many years experience do you have as a receptionist what s your expected annual base salary what s your expected hourly rate 
education administration support,Education,New south wales,2020-03-12,build you skills create success and become inspired tafe nsw has over annual enrolments and sets the benchmark for quality education in australia join our innovative dynamic organisation while we embark on a once in a generation evolution to modernise up skill and digitally transform into a world class education provider we re committed to building a culture of highly engaged and talented people all working together in a collaborative and high performance culture which facilitates career mobility and diversity our employees are valued and provided development opportunities to ensure organisational success and personal growth the opportunity the education administration support role is responsible for supporting the aged care unit head teachers and their delivery team with all administrative activities essential to the effective delivery of teaching and learning on a day to day basis this role will have a particular focus on coordinating and checking data in the student management system and dealing with aged care students and enquiries this is a temporary opportunity until june with a possibility of extension and can be located at nowra shellharbour or wollongong tafe nsw campus review the position description and information package for more information about you you will possess certificate iii in a relevant field and have demonstrated experience in the provision of high quality administrative support and ability to work with a range of complex administrative and corporate systems additionally you will have strong capabilities in working with technology and data and an excellent eye for detail with a high level of accuracy knowledge of ms office suite including excel and education business systems is desirable strong communication skills are key to success in this role to maintain a good relationship with various stakeholders you will have sound organisation and time management skills in order to manage priorities and competing deadlines in a fast paced environment additionally you will have a positive can do attitude display calmness and show excellent problem solving skills in all daily activities and dealing with all customers your previous experience in educational institutions and good understating of vocational education requirements will be highly regarded how to apply for your application to be considered you must attach an updated resume detailing your suitability for the role click the apply button where you will be required to answer two target questions outlining your suitability job closes march at pm as a condition of employment you will be required to obtain working with children check wwcc clearance for permanent positions you must be an australian citizen or permanent resident for temporary positions it is generally acceptable for you to have a current visa that allows you to work in australia tafe nsw is an equal opportunity employer that is committed to fostering a diverse workforce we encourage applications from people with a disability and will make any reasonable adjustment that you need both in the interview process and on the job if you need assistance or if you have any questions in relation to the recruitment or application process please call justyna wieczorek on or email careers tafensw edu au
expression of interest before after school care traineeship western sydney,Education,Victoria,2020-03-26,apprenticeship careers australia aca help mentor and support the next generation of childcare trainees through employment and vocational education pathways here at apprenticeship careers australia we are currently on the lookout for expression of interest childcare trainees to potentially join our teams located in western sydney our client provides quality learning and teaching in a faith centred environment in elementary schools across western sydney if you are looking to kick start your childcare journey and want a great company to work with we have the apprenticeship for you are you passionate about children and their wellbeing and health someone who likes to work in a team friendly easy to talk to and polite reliable honest and trustworthy flexible someone who takes pride in everything you do alert and on the lookout you will be surrounded by crew to support you and part of a large apprentice and trainee community you will gain practical experience working in the centre with our childcare partner in the western sydney area whilst studying to complete your certificate iv in school age education the role provide care for children promote and provide healthy food and drinks ensure the health and safety of children use an approved learning framework to guide practice interact positively with children in a recreational activity potential candidates must be australian citizen or permanent resident car and driver s licence highly preferred current working with children check wwc work under the catholic ethos undertake a certificate iv in school age education and care as part of a work based traineeship if you have the required skills and passion for the childcare industry apply now we want to hear from you contact details for more information and a chat about this awesome opportunity call our crew on or email info apprenticeshipcareers com au
school leaver employment service sles officer casual,Education,Australian capital territory,2020-03-18,quest care is a major provider of support services to people with disabilities across canberra quest care s vision is to provide highly trained high quality support workers as carers to clients across the act and surrounds a goal which includes ethical professional client focused provision of services quest care offers a supportive work environment which includes access to highly experienced managers for mentoring and advice we also offer advancement opportunities for you to develop your skills while working with vulnerable clients about the role this is a role in our newly integrated school leaver employment support sles program this program is an early intervention approach for year school leavers designed to support their transition from school to employment each participant will have a differently tailored sles program however the following can assist participants to build employment readiness skills in time management money handling travel communication and learning how to take instruction at work you will help design and deliver our sles program to help our participants young people with a disability to prepare look for gain and maintain employment you will provide meaningful individualised capacity building activities so that our participants can achieve their own employment goals you will use your initiative identify learning gaps in each of our participants and use creative thinking to implement various strategies and skills to overcome these barriers responsibilities include participate in developing and implementing individual and group based capacity building job readiness and work experience support provide on site support during work experience s to increase total understanding of workplace expectations and behaviours provide support to participants on personal development as per individual support needs provide support and mentoring to participants that encourage a level of competence and independence with their employment and training goals optimise appropriate work experience opportunities for participants maintain necessary records of service provision liaise and network with internal and external stakeholders travel and attending meetings is a requirement of this role undertake other responsibilities as required must have skills experience experience working with youth young adults experience in designing and implementing learning programs or experience in helping young people achieve their goals current class c driver s license current first aid current working with vulnerable people wwvp an understanding of intellectual disabilities and people with complex behaviours ability to take initiative and work independently excellent communication skills both verbal and written current police check desired skills experience certificate iv in disability certificate iv in training assessment certificate iv in mental health diploma of community service or equivalent qualification s experience working with young adults with intellectual disabilities benefits of working for quest care small family owned business with extensive experience in the disability sector in canberra for over years we value professional development for our people and invest in a multitude of training courses for staff we also offer great career progression opportunities with our quest training sister organisation we have a fun friendly flexible and collaborative work culture to apply please send your resume and cover letter to jane brownbill questsolutions com au
school officer enrolments administration san damiano college yarrabilba,Education,New south wales,2020-03-13,we are seeking an experienced administration and enrolments officer to undertake a range of activities and provide high level support to the foundation principal in preparation for the opening of san damiano college in the successful applicant will display highly developed communication and interpersonal skills have a sound understanding of school administrative tasks and have experience and knowledge in the use of databases and school systems it would be advantageous to have experience in working in a school environment with a good knowledge of dynamics ax and eminerva to view the position description or to apply for this vacancy please click on the apply button school descriptionas the first catholic secondary college in the community of yarrabilba san damiano college is perfectly placed between brisbane s cbd and the gold coast yarrabilba as a master planned community in logan home to residents on completion is a vibrant growing community with a planned educational precinct within which san damiano college is located the beautiful architecture of the college will cement san damiano as a visibly catholic college within the community and will complement st clare s primary school located just metres away with adjacent council ovals and the college s own oval the school is well resourced with sporting facilities steady population growth in the region underpins bce s plans to open the college in commencing with year and will grow one year level each year until year it is envisioned that san damiano college will be a stream school catering for students the successful applicant will have a commitment to and understanding of the ethos and traditions of catholic education currently hold or be eligible to hold a paid employee positive notice blue card and be eligible to work in australia for the duration of the appointment estimated start date commencing april position tenure continuing weeks worked up to weeks per year including school holidays tenure duration if fixed term total paid hours per wk days required days wk hrs wk mon to fri salary level range or hourly rate school officer level per hour employment conditions diocesan catholic education employing authorities in queensland single interest agreement this position involves working with children the appointment of successful applicants will be subject to satisfactory employment screening for child related employment in accordance with the law contact person sandra mitchell contact telephone number contact email smitchell bne catholic edu au
content producer entrepreneur education,Education,South australia,4 Feb 2020, videojobad videoembed display block height px padding px text align center width jobadcontrol videoembed border px solid ccc job template__wrapper font size px font family helvetica arial sans serif overflow hidden background color fff color line height normal box sizing content box width px max width px job template__wrapper details job template__wrapper jobtitle job template__wrapper subheading job template__wrapper ul templatebullet job template__wrapper ul templatebulletnormal color c c c word wrap break word job template__wrapper templatetext job template__wrapper ul templatebulletnormal font size pt font weight word wrap break word job template__wrapper jobtitle font size pt font weight job template__wrapper subheading font size pt font weight job template__wrapper h font size px margin px font weight job template__wrapper h job template__wrapper h font size px margin px color d font weight job template__wrapper h margin px job template__wrapper h font size px margin px job template__wrapper b job template__wrapper strong font weight job template__wrapper em job template__wrapper i font style italic job template__wrapper blockquote margin em px job template__wrapper td vertical align middle job template__wrapper templatetext h font size px margin color c c c job template__wrapper ul templatebullet font size pt font weight job template__wrapper templatebullet li job template__wrapper templatebulletnormal li job template__wrapper templatetext li list style position outside list style disc margin left px job template__wrapper templatetext ol job template__wrapper templatetext ul margin top px job template__wrapper templatetext ol li list style position outside list style decimal margin left px job template__wrapper details font size pt font weight word wrap break word job template__wrapper tempmargin margin px padding px job template__wrapper ul templatebullet margin px padding px job template__wrapper small font size px font weight color job template__wrapper a text decoration none job template__wrapper a focus outline thin dotted job template__wrapper a active job template__wrapper a link job template__wrapper a visited color cf job template__wrapper hr border none border top px solid dadada job template__wrapper dl job template__wrapper menu job template__wrapper ol job template__wrapper p job template__wrapper ul margin px job template__wrapper menu job template__wrapper ol job template__wrapper ul job template__wrapper ul li padding job template__wrapper valign top vertical align top job template__wrapper sub job template__wrapper sup position relative vertical align baseline line height font size px job template__wrapper sup top em job template__wrapper sub bottom em job template__wrapper content margin px padding px px px background fff position relative z index top px min height px margin right job template__wrapper tempborder width px border px solid c a text align left font family helvetica arial job template__wrapper tempborder templogo text align center padding font size line height job template__wrapper tempborder tempmargin margin px padding px px job template__wrapper tempborder jobtitle color c a text align center margin padding px display block font size px job template__wrapper tempborder subheading job template__wrapper tempborder h color important text align center margin padding px display block font size px job template__wrapper tempborder templatebullet li color text align left margin left px important font size px font weight bold job template__wrapper tempborder templatetext li color important text align left margin left px font size px job template__wrapper tempborder templatetext color text align justify font size px job template__wrapper tempborder details color text align center padding top px font size px job template__wrapper tempborder temphidden font size px color fff content producer entrepreneur education why this is the best job you will ever have work directly with and learn from our founder ceo jack delosa x afr young rich list member x best selling author tv host and his executive team be part of a x top best places to work apac award winning culture work with australia s top entrepreneurs and business leaders get access to premium business training courses from australia s top entrepreneurs and business leaders our members pay tens of thousands of dollars for this the work you do will genuinely change the lives of australian and global business owners it s incredibly rewarding and if you still aren t convinced check out the entourage and jack delosa on social media about the role the entourage is a high growth company revolutionising the way that world class business training is delivered we have a new and exciting opportunity for a content producer to hold a month contract role based in our sydney office with the opportunity to expand your primary objective will be to create a world class online learning experience for our global members by developing compelling relevant and high quality educational resources such as videos interviews and interactive digital sessions for our newly launched online on demand platform as well as the learning resources you will also be responsible for engaging with the global community of members maintaining timely communications and interactions to increase retention across the program the content producer is responsible for producing world class education materials for our ondemand portal that educates and inspires australia s next generation of entrepreneurs this is an incredible opportunity to build the platform really making your mark in the digital education space and optimising the entourage s global impact reporting to the head of training delivery the key areas of focus will include working with key stakeholders for the course syllabus working with subject matter experts to get thoughts ideas into digestible content identification of topic opportunity areas based on current user engagement gaps in content plan course recording schedule and oversee work with the content team to edit and prepare course assets development of additional resources e g tools templates structuring of course within kajabi e learning platform loading and listing of all course assets organisation of course development and release calendar of comms launch campaigns for specific courses smart integration of existing te assets and materials into the course development process above all you are passionate about the difference that education specifically entrepreneurship education can make to the world in addition to this you have the following skills and experience experience in instructional design online course development copy writing experience lms cms experience demonstrated experience managing projects strong written interpersonal and it skills curriculum development experience experience working with subject matter experts passion for business about us since the entourage has been australia s leading business training institution for entrepreneurs with over business owners coming through our programs and over attending our business events our members and alumni pepper the country s top business lists including the deloitte fast brw top to watch telstra business awards brw fast starters and more as a team we are a group of inspired high performers who fundamentally believe that entrepreneurs are the creators innovators and dreamers that shape the world we live in we believe that the traditional education system doesn t empower or equip entrepreneurs with the right tangible business building skills it takes to drive growth or provide the like minded community to support them through their journey we re changing that through a new kind of business education that puts the emphasis on developing both the entrepreneur and their business we re a fast paced culture full of opportunists optimists and high performing a players that have a tonne of fun each day but are committed to getting the job done we are the opposite of working in a typical stale corporate environment full of bureaucracy with plenty of opportunities for the right person to lean in and grab it we believe that when what you do is fuelled by who you are you ll do your life s best work if you re passionate about making a difference to the lives of thousands of entrepreneurs in australia and across the globe then apply today with a cover letter outlining why you re the person who is going to help us change the world no recruiters please we appreciate the work you do however we re going solo on this one we promise we ll reach out if we need any help why this is the best job you will ever have work directly with and learn from our founder ceo jack delosa x afr young rich list member x best selling author tv host and his executive team be part of a x top best places to work apac award winning culture work with australia s top entrepreneurs and business leaders get access to premium business training courses from australia s top entrepreneurs and business leaders our members pay tens of thousands of dollars for this the work you do will genuinely change the lives of australian and global business owners it s incredibly rewarding and if you still aren t convinced check out the entourage and jack delosa on social media about the role the entourage is a high growth company revolutionising the way that world class business training is delivered we have a new and exciting opportunity for a content producer to hold a month contract role based in our sydney office with the opportunity to expand your primary objective will be to create a world class online learning experience for our global members by developing compelling relevant and high quality educational resources such as videos interviews and interactive digital sessions for our newly launched online on demand platform as well as the learning resources you will also be responsible for engaging with the global community of members maintaining timely communications and interactions to increase retention across the program the content producer is responsible for producing world class education materials for our ondemand portal that educates and inspires australia s next generation of entrepreneurs this is an incredible opportunity to build the platform really making your mark in the digital education space and optimising the entourage s global impact reporting to the head of training delivery the key areas of focus will include working with key stakeholders for the course syllabus working with subject matter experts to get thoughts ideas into digestible content identification of topic opportunity areas based on current user engagement gaps in content plan course recording schedule and oversee work with the content team to edit and prepare course assets development of additional resources e g tools templates structuring of course within kajabi e learning platform loading and listing of all course assets organisation of course development and release calendar of comms launch campaigns for specific courses smart integration of existing te assets and materials into the course development process above all you are passionate about the difference that education specifically entrepreneurship education can make to the world in addition to this you have the following skills and experience experience in instructional design online course development copy writing experience lms cms experience demonstrated experience managing projects strong written interpersonal and it skills curriculum development experience experience working with subject matter experts passion for business about us since the entourage has been australia s leading business training institution for entrepreneurs with over business owners coming through our programs and over attending our business events our members and alumni pepper the country s top business lists including the deloitte fast brw top to watch telstra business awards brw fast starters and more as a team we are a group of inspired high performers who fundamentally believe that entrepreneurs are the creators innovators and dreamers that shape the world we live in we believe that the traditional education system doesn t empower or equip entrepreneurs with the right tangible business building skills it takes to drive growth or provide the like minded community to support them through their journey we re changing that through a new kind of business education that puts the emphasis on developing both the entrepreneur and their business we re a fast paced culture full of opportunists optimists and high performing a players that have a tonne of fun each day but are committed to getting the job done we are the opposite of working in a typical stale corporate environment full of bureaucracy with plenty of opportunities for the right person to lean in and grab it we believe that when what you do is fuelled by who you are you ll do your life s best work if you re passionate about making a difference to the lives of thousands of entrepreneurs in australia and across the globe then apply today with a cover letter outlining why you re the person who is going to help us change the world no recruiters please we appreciate the work you do however we re going solo on this one we promise we ll reach out if we need any help the application form will include these questions which of the following statements best describes your right to work in australia what s your expected annual base salary how much notice are you required to give your current employer what common challenges do you think entrepreneurs face regularly do you have any experience in the entrepreneurial space or in small business 
administrative officer aaep yeppoon state high school,Education,New south wales,2020-03-25,image courtesy of yeppoon state high school about yeppoon state high school at yeppoon state high school emphasis is placed on academic outcomes we also believe that the development of a holistic education through the teaching of values and ethics instils in our graduates a sense of decency and respect for others our graduates are well placed to contribute positively to society as self aware and empathetic individuals teaching staff are enthusiastic in their desire to be experts in their curriculum fields and they embrace current trends in praxis and pedagogy strong community and industry partnerships build staff workforce capabilities that result in real world scenarios being embedded in the classroom our facilities provide exceptional learning environments and resources our strong business and university links along with our community partners provide a unique range of opportunities and pathways that enriches students development with real world experiences and connectedness your opportunity yeppoon state high school on the capricorn coast is seeking passionate and enthusiastic applicants for x full time administration positions within the corporate services team these positions are permanent positions to commence this is an exciting opportunity to work in a serviced focused team offering support to schools students and parents and community members the roles provide administrative duties within the corporate services team and will report to the business manager as the administrative officer aaep you will contribute to the effective and efficient and timely administrative support for the school your role as the administrative officer you will have responsibility for the following perform a variety of day to day administrative and support services that are routine in nature and directed by the principal or the business manager undertake routine activities including reception telephone and counter enquiries general administration maintaining school records perform a variety of other administrative administer day to day financial matters e g process payments and receipting banking follow up on late payments as directed by principal or business manager communicate with internal and external stakeholders e g school and departmental staff parents students and community members provides information and advice in line with school policies and or principal directives and demonstrates empathy emotional understanding and support apply day to day independence in determining work schedules and sequences within a well defined environment with regular managerial supervision ability to quickly acquire knowledge and understanding of school operations standards and work processes word processing and spreadsheet experience and ability to use web based applications preferred knowledge and experience ability to quickly acquire knowledge and understanding of school operations standards and work processes word processing and spreadsheet experience and ability to use enterprise systems and web based applications ability to communicate with empathy and influence in order to address problems and obtain cooperation and assistance in meeting required objectives additional information for enquires regarding these positions contact the executive services officer tanya champion on or email tcham eq edu au please submit applications online by wednesday april to apply please attach the following a brief resume including contact details for referees one of whom should be your current supervisor a maximum page written response outlining your suitability for the role referring to key capabilities under the how you will be assessed section in the attached role description applications remain current for months from the closing date and may be considered for appointment to identical or similar vacancies within the department applications from recruitment agencies will not be accepted li priority
part time casual teaching opportunities disability work,Education,South australia,2020-03-27, per hour casual rate opportunities at bankstown blue mountains the hills nepean wetherill park teaching qualification scholarships available for suitable applicants your chance to train the next generation tafe nsw is seeking qualified professionals who share in our values of customer first integrity collaboration and excellence and want to transfer their knowledge and skills to the next generation of disability worker professionals we recognise that real experience is the most important aspect when appointing our teaching staff we know that this experience your creditability and your story will have a positive impact to generate the passion needed by our students to see their qualification through therefore we want you to discover the teacher within you if you don t have a current teaching qualification but you do have a passion and commitment for your industry you may be eligible for certificate iv training and assessment scholarship and once you have completed the studies you will hold the qualification needed to become a trainer and assessor with tafe nsw if you have recognised degree diploma or equivalent in an area of community services and experience is disability work social science degree together with a practice based diploma or associate diploma in an applied community services field or qualifications and experience assessed through an approved process of rpl rcc as relevant and equivalent a minimum of two years work in disabilities work at least part of which has been gained within the last months comprehensive current knowledge and experience in disability case management intermediate computer skills appropriate subject knowledge demonstrated commitment to quality customer service commitment and willingness learn and develop as a professional teacher we want to hear from you for full details on the specific duties of a tafe nsw teacher please review the position description and information package scholarship opportunities with tafe nsw provide you with support to complete your certificate iv training assessment tae full on the job training and support along with further professional development opportunities a great culture and supportive team environment an attractive remuneration a diverse role with plenty of challenges an opportunity to diversify in an industry you are passionate about applications close at pm on the th of april how to apply interest for your application to be considered you must attach an updated resume provide written response to the target questions below tafe nsw is committed to diversity and fosters an inclusive environment in which all employees feel a sense of belonging we encourage people from all backgrounds to apply for this position and we will make any adjustments that you need in the interview process and on the job to help you demonstrate your full potential you will be required to undertake a national criminal history check and obtain a working with children check wwcc clearance as a condition of employment for more information visit office of the children s guardian website for permanent positions in the nsw public sector you need to be an australian citizen or permanent resident 
